,title,release_date,production_budget,domestic_gross,worldwide_gross,genre,story_source,creative_type,production_method,production_company,MPAA_Rating,runtime,opening_theater_count,max_theater_count,avg_run_per_theater,actors,directors
173,Mission: ImpossibleâRogue Nation,"Jul 29, 2015","$150,000,000","$195,042,377","$688,858,992",Action,Based on TV,Contemporary Fiction,Live Action,Bad Robot,PG-13,131 minutes,"3,956","3,956",7.0 weeks,Tom Cruise,Christopher McQuarrie
174,Dunkirk,"Jul 18, 2017","$150,000,000","$190,068,280","$499,837,368",Action,Original Screenplay,Dramatization,Live Action,Warner Bros.,PG-13,107 minutes,"3,720","3,720",7.4 weeks,Fionn Whitehead,Christopher Nolan
175,Thor,"Apr 29, 2011","$150,000,000","$181,030,624","$449,326,618",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Marvel Studios,PG-13,113 minutes,"3,955","3,955",5.7 weeks,Chris Hemsworth | Natalie Portman | Tom Hiddleston | Anthony Hopkins | Idris Elba,Kenneth Branagh
176,Madagascar: Escape 2 Africa,"Nov 7, 2008","$150,000,000","$180,174,880","$599,680,774",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,89 minutes,"4,056","4,056",6.7 weeks,Ben Stiller | Chris Rock | David Schwimmer | Jada Pinkett Smith | Sacha Baron Cohen | Cedric the Entertainer | Andy Richter | Tom McGrath | Chris Miller | Christopher Knights | Conrad Vernon,Eric Darnell | Tom McGrath
177,X-Men Origins: Wolverine,"May 1, 2009","$150,000,000","$179,883,157","$374,825,760",Action,Spin-Off,All Time Domestic Box Office for Super Hero Movies,Live Action,20th Century Fox,PG-13,107 minutes,"4,099","4,099",5.4 weeks,,
178,Night at the Museum: Battle of the Smithsonian,"May 22, 2009","$150,000,000","$177,243,721","$402,231,063",Adventure,Based on Fiction Book/Short Story,Fantasy,Live Action,Twentieth Century Fox,PG,105 minutes,"4,096","4,096",6.3 weeks,,
179,Kung Fu Panda 2,"May 26, 2011","$150,000,000","$165,249,063","$664,837,547",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,90 minutes,"3,925","3,925",5.7 weeks,Jack Black,Jennifer Yuh Nelson
180,Mad Max: Fury Road,"May 14, 2015","$150,000,000","$153,636,354","$370,098,020",Action,Original Screenplay,Science Fiction,Live Action,Kennedy Miller Mitchell Productions,All Time Domestic Box Office for R Movies,120 minutes,"3,702","3,702",5.6 weeks,Tom Hardy | Charlize Theron | Hugh Keays-Byrne,George Miller
181,PokÃ©mon: Detective Pikachu,"May 3, 2019","$150,000,000","$144,105,346","$429,685,022",Adventure,Based on Game,Kids Fiction,Animation/Live Action,Warner Bros.,PG,104 minutes,"4,202","4,202",4.8 weeks,Ryan Reynolds | Justice Smith,Rob Letterman
182,The Matrix Revolutions,"Nov 5, 2003","$150,000,000","$139,270,910","$427,300,260",Action,Original Screenplay,Science Fiction,Live Action,EON Enterprises,All Time Domestic Box Office for R Movies,129 minutes,"3,502","3,502",4.4 weeks,,
183,Ready Player One,"Mar 20, 2018","$150,000,000","$137,690,172","$579,290,136",Adventure,Based on Fiction Book/Short Story,Science Fiction,Animation/Live Action,Warner Bros.,PG-13,140 minutes,"4,234","4,234",5.1 weeks,Tye Sheridan | Olivia Cooke | Ben Mendelsohn | Simon Pegg | Mark Rylance | T.J. Miller | Philip Zhao | Lena Waithe | Win Morisaki | Hannah John-Kamen,Steven Spielberg
184,Chicken Little,"Nov 4, 2005","$150,000,000","$135,386,665","$310,043,823",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Walt Disney Animation Studios,G,82 minutes,"3,654","3,654",7.1 weeks,,
185,Mission: Impossible III,"May 5, 2006","$150,000,000","$133,501,348","$399,387,745",Action,Based on TV,Contemporary Fiction,Live Action,Cruise-Wagner,PG-13,126 minutes,"4,054","4,054",5.4 weeks,Tom Cruise,J.J. Abrams
186,Angels & Demons,"May 15, 2009","$150,000,000","$133,375,846","$490,875,846",Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Columbia Pictures,PG-13,138 minutes,"3,527","3,527",5.8 weeks,Tom Hanks,Ron Howard
187,Troy,"May 14, 2004","$150,000,000","$133,298,577","$484,161,265",Action,Based on Fiction Book/Short Story,Historical Fiction,Live Action,Radiant Productions,All Time Domestic Box Office for R Movies,162 minutes,"3,411","3,411",5.5 weeks,,
188,The Last Airbender,"Jul 1, 2010","$150,000,000","$131,772,187","$319,713,881",Adventure,Based on TV,Fantasy,Live Action,Paramount Pictures,PG,103 minutes,"3,169","3,169",4.6 weeks,Noah Ringer,M. Night Shyamalan
189,Bee Movie,"Nov 2, 2007","$150,000,000","$126,631,277","$287,594,577",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,90 minutes,"3,928","3,928",6.4 weeks,Jerry Seinfeld | RenÃ©e Zellweger,Steve Hickner
190,G-Force,"Jul 24, 2009","$150,000,000","$119,436,770","$292,817,841",Adventure,Original Screenplay,Kids Fiction,Animation/Live Action,Jerry Bruckheimer,PG,87 minutes,"3,697","3,697",6.4 weeks,Nicolas Cage | Sam Rockwell | PenÃ©lope Cruz,Hoyt H. Yeatman
191,Bolt,"Nov 21, 2008","$150,000,000","$114,053,579","$328,015,029",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Walt Disney Pictures,PG,96 minutes,"3,651","3,651",6.3 weeks,John Travolta | Susie Essman | Mark Walton,Chris Williams | Byron Howard
192,Wrath of the Titans,"Mar 28, 2012","$150,000,000","$83,670,083","$305,270,083",Adventure,Based on Folk Tale/Legend/Fairytale,Fantasy,Animation/Live Action,Warner Bros.,PG-13,99 minutes,"3,545","3,545",4.6 weeks,Sam Worthington | Liam Neeson | Ralph Fiennes | Toby Kebbell | Rosamund Pike,Jonathan Liebesman
193,Beowulf,"Nov 16, 2007","$150,000,000","$82,280,579","$195,080,579",Adventure,Based on Fiction Book/Short Story,Fantasy,All Time Domestic Box Office for Digital Animation Movies (Rank 101-200),Paramount Pictures,PG-13,115 minutes,"3,153","3,153",4.8 weeks,,
194,Dark Shadows,"May 9, 2012","$150,000,000","$79,727,149","$238,202,668",Black Comedy,Based on TV,Fantasy,Live Action,Warner Bros.,PG-13,112 minutes,"3,755","3,755",4.8 weeks,Johnny Depp | Michelle Pfeiffer | Helena Bonham Carter | Eva Green | Jackie Earle Haley | Jonny Lee Miller | Bella Heathcote | Chloe Grace Moretz* | Gully McGrath*,Tim Burton
195,White House Down,"Jun 28, 2013","$150,000,000","$73,103,784","$205,440,387",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,Columbia Pictures,PG-13,131 minutes,"3,222","3,222",3.9 weeks,Channing Tatum | Jamie Foxx,Roland Emmerich
196,The Wolfman,"Feb 12, 2010","$150,000,000","$62,189,884","$142,634,358",Horror,All Time Domestic Box Office for Remake Movies,Fantasy,Live Action,Universal Pictures,All Time Domestic Box Office for R Movies (Rank 301-400),102 minutes,"3,222","3,222",3.8 weeks,Benicio del Toro | Anthony Hopkins | Emily Blunt,Joe Johnston
197,The Great Wall,"Dec 15, 2016","$150,000,000","$45,157,105","$334,486,852",Action,Original Screenplay,Historical Fiction,Live Action,Legendary Pictures,PG-13,104 minutes,"3,325","3,325",3.4 weeks,Matt Damon | Jian Tian | Pedro Pascal | Willem Dafoe | Zhang Hanyu | Eddie Peng Yu-Yen* | Lu Han | Kenny Lin | Junkai Wang | Zheng Kai | Cheney Chen | Xuan Huang | Andy Lau,Zhang Yimou
198,Pan,"Sep 25, 2015","$150,000,000","$35,088,320","$151,525,973",Adventure,Based on Fiction Book/Short Story,Fantasy,Live Action,Warner Bros.,PG,111 minutes,"3,515","3,515",3.5 weeks,Hugh Jackman | Garrett Hedlund | Rooney Mara | Levi Miller,Joe Wright
199,Mars Needs Moms,"Mar 11, 2011","$150,000,000","$21,392,758","$39,549,758",Adventure,Based on Fiction Book/Short Story,Science Fiction,All Time Domestic Box Office for Digital Animation Movies (Rank 101-200),Walt Disney Pictures,PG,88 minutes,"3,117","3,117",3.2 weeks,Seth Green,Simon Wells
200,Flushed Away,"Nov 3, 2006","$149,000,000","$64,665,672","$179,357,126",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies (Rank 101-200),DreamWorks Pictures,PG,85 minutes,"3,707","3,707",5.1 weeks,,
201,Madagascar 3: Europe's Most Wanted,"Jun 8, 2012","$145,000,000","$216,391,482","$746,921,271",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,85 minutes,"4,258","4,258",6.3 weeks,Ben Stiller | Chris Rock | David Schwimmer | Jada Pinkett Smith | Sacha Baron Cohen | Cedric the Entertainer | Andy Richter | Frances McDormand | Tom McGrath,Eric Darnell | Conrad Vernon | Tom McGrath
202,Mission: ImpossibleâGhost Protocol,"Dec 14, 2011","$145,000,000","$209,397,903","$694,713,230",Action,Based on TV,Contemporary Fiction,Live Action,Paramount Pictures,PG-13,132 minutes,425,425,6.0 weeks,Tom Cruise | Paula Patton | Simon Pegg | Jeremy Renner | Michael Nyqvist | Lea Seydoux | Josh Holloway | Anil Kapoor | Vladimir Mashkov | Tom Wilkinson,Brad Bird
203,How to Train Your Dragon 2,"Jun 5, 2014","$145,000,000","$177,002,924","$614,586,270",Adventure,Original Screenplay,Fantasy,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,102 minutes,"4,253","4,253",6.6 weeks,Jay Baruchel | Gerard Butler | America Ferrera | Jonah Hill | Christopher Mintz-Plasse | Craig Ferguson,Dean DeBlois
204,Tarzan,"Jun 16, 1999","$145,000,000","$171,091,819","$448,191,819",Adventure,Based on Fiction Book/Short Story,Historical Fiction,Hand Animation,Walt Disney Animation Studios,G,88 minutes,"3,005","3,005",8.8 weeks,,
205,Mr. Peabody & Sherman,"Feb 20, 2014","$145,000,000","$111,506,430","$269,806,430",Adventure,Based on TV,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Bullwinkle Studios,PG,91 minutes,"3,934","3,934",6.0 weeks,Ty Burrell | Max Charles,Rob Minkoff
206,Rise of the Guardians,"Nov 20, 2012","$145,000,000","$103,412,758","$306,900,902",Adventure,Based on Fiction Book/Short Story,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,97 minutes,"3,653","3,653",6.8 weeks,Alec Baldwin | Jude Law | Hugh Jackman | Chris Pine | Isla Fisher | Dakota Goyo,Peter Ramsey
207,Sahara,"Apr 8, 2005","$145,000,000","$68,671,925","$121,671,925",Adventure,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Paramount Pictures,PG-13,124 minutes,"3,154","3,154",6.2 weeks,,
208,Ghostbusters,"Jul 13, 2016","$144,000,000","$128,350,574","$229,008,658",All Time Domestic Box Office for Comedy Movies,All Time Domestic Box Office for Remake Movies,Science Fiction,Animation/Live Action,Columbia Pictures,PG-13,117 minutes,"3,963","3,963",4.7 weeks,Melissa McCarthy | Kristen Wiig | Leslie Jones | Kate McKinnon | Chris Hemsworth,Paul Feig
209,Die Another Day,"Nov 22, 2002","$142,000,000","$160,942,139","$431,942,139",Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Eon Productions,PG-13,133 minutes,"3,314","3,314",7.3 weeks,,
210,Pirates of the Caribbean: The Curse of the Blac…,"Jul 9, 2003","$140,000,000","$305,410,819","$654,310,819",Adventure,Based on Theme Park Ride,Fantasy,Live Action,Walt Disney Pictures,PG-13,144 minutes,"3,269","3,269",10.8 weeks,Johnny Depp | Geoffrey Rush | Orland Bloom* | Keira Knightley,Gore Verbinski
211,Star Trek,"May 8, 2009","$140,000,000","$257,730,019","$386,839,614",Adventure,Based on TV,Science Fiction,Live Action,Bad Robot,PG-13,125 minutes,"3,849","3,849",7.4 weeks,Chris Pine | Zachary Quinto | Karl Urban | Zoe Saldana | Simon Pegg | John Cho | Anton Yelchin,J.J. Abrams
212,Armageddon,"Jul 1, 1998","$140,000,000","$201,578,182","$554,600,000",Adventure,Original Screenplay,Science Fiction,Live Action,Touchstone Pictures,PG-13,150 minutes,"3,127","3,127",9.7 weeks,,
213,Men in Black 2,"Jul 3, 2002","$140,000,000","$190,418,803","$441,767,803",Action,Based on Comic/Graphic Novel,Science Fiction,Animation/Live Action,Columbia Pictures,PG-13,86 minutes,"3,557","3,557",6.0 weeks,Tommy Lee Jones | Will Smith,Barry Sonnenfeld
214,Captain America: The First Avenger,"Jul 22, 2011","$140,000,000","$176,654,505","$370,569,776",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Paramount Pictures,PG-13,124 minutes,"3,715","3,715",5.7 weeks,Chris Evans | Tommy Lee Jones | Sebastian Stan | Hayley Atwell,Joe Johnston
215,Kung Fu Panda 3,"Jan 23, 2016","$140,000,000","$143,528,619","$517,599,142",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,94 minutes,"3,955","3,955",6.7 weeks,Jack Black,Jennifer Yuh Nelson | Alessandro Carloni
216,Lethal Weapon 4,"Jul 10, 1998","$140,000,000","$130,444,603","$285,400,000",Action,Original Screenplay,Contemporary Fiction,Live Action,,All Time Domestic Box Office for R Movies,127 minutes,"3,117","3,117",7.6 weeks,,
217,G.I. Joe: Retaliation,"Mar 27, 2013","$140,000,000","$122,523,060","$375,740,705",Action,Based on Toy,Contemporary Fiction,Animation/Live Action,Paramount Pictures,PG-13,110 minutes,"3,719","3,719",5.7 weeks,Dwayne Johnson | Bruce Willis | Channing Tatum | Adrianne Palicki | D.J. Cotrona | Byung-hun Lee | Jonathan Pryce | RZA | Ray Stevenson | Elodie Yung,Jon M. Chu
218,The Last Samurai,"Dec 5, 2003","$140,000,000","$111,110,575","$456,810,575",Action,Original Screenplay,Historical Fiction,Live Action,Radar Pictures,All Time Domestic Box Office for R Movies (Rank 101-200),154 minutes,"2,908","2,908",7.2 weeks,Tom Cruise | Ken Watanabe | Koyuki Kato,Edward Zwick
219,Fun With Dick And Jane,"Dec 21, 2005","$140,000,000","$110,550,000","$203,018,919",All Time Domestic Box Office for Comedy Movies,All Time Domestic Box Office for Remake Movies,Contemporary Fiction,Live Action,Columbia Pictures,PG-13,90 minutes,"3,056","3,056",6.2 weeks,,
220,Exodus: Gods and Kings,"Dec 5, 2014","$140,000,000","$65,014,513","$268,314,513",Drama,Based on Religious Text,Historical Fiction,Live Action,Chernin Entertainment,PG-13,150 minutes,"3,503","3,503",4.1 weeks,Christian Bale | Joel Edgerton,Ridley Scott
221,The BFG,"Jun 30, 2016","$140,000,000","$55,483,770","$199,646,680",Adventure,Based on Fiction Book/Short Story,Kids Fiction,Animation/Live Action,Walden Media,PG,115 minutes,"3,357","3,357",3.4 weeks,Mark Rylance | Ruby Barnhill,Steven Spielberg
222,Gods of Egypt,"Feb 24, 2016","$140,000,000","$31,153,464","$138,836,756",Adventure,Original Screenplay,Fantasy,Live Action,Summit Entertainment,PG-13,127 minutes,"3,117","3,117",3.5 weeks,Nikolaj Coster-Waldau | Brenton Thwaites | Chadwick Boseman | Elodie Yung | Courtney Eaton | Rufus Sewell | Gerard Butler | Geoffrey Rush | Abbey Lee | Yaya Deng,Alex Proyas
223,Spider-Man,"May 3, 2002","$139,000,000","$407,677,927","$825,677,927",Adventure,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Columbia Pictures,PG-13,121 minutes,"3,615","3,615",8.1 weeks,Tobey Maguire,Sam Raimi
224,Watchmen,"Mar 6, 2009","$138,000,000","$107,509,799","$186,976,250",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Legendary Pictures,All Time Domestic Box Office for R Movies (Rank 101-200),161 minutes,"3,611","3,611",4.2 weeks,,
225,Stealth,"Jul 29, 2005","$138,000,000","$32,116,746","$76,416,746",Action,Original Screenplay,Science Fiction,Live Action,Columbia Pictures,PG-13,121 minutes,"3,495","3,495",2.9 weeks,,
226,The Incredible Hulk,"Jun 13, 2008","$137,500,000","$134,806,913","$265,573,859",Adventure,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Universal Pictures,PG-13,112 minutes,"3,505","3,505",5.0 weeks,Edward Norton,Louis Leterrier
227,Hulk,"Jun 20, 2003","$137,000,000","$132,177,234","$245,075,434",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Universal Pictures,PG-13,138 minutes,"3,660","3,660",4.6 weeks,,
228,Final Fantasy: The Spirits Within,"Jul 11, 2001","$137,000,000","$32,131,830","$85,131,830",Adventure,Based on Game,Science Fiction,All Time Domestic Box Office for Digital Animation Movies (Rank 101-200),,PG-13,106 minutes,"2,649","2,649",3.1 weeks,,
229,"The Twilight Saga: Breaking Dawn, Part 2","Nov 14, 2012","$136,200,000","$292,324,737","$829,724,737",Drama,Based on Fiction Book/Short Story,Fantasy,Live Action,Temple Hill Entertainment,PG-13,115 minutes,"4,070","4,070",5.9 weeks,Kristen Stewart | Robert Pattinson | Taylor Lautner,Bill Condon
230,The Croods,"Mar 15, 2013","$135,000,000","$187,168,425","$573,068,425",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,98 minutes,"4,046","4,046",8.6 weeks,Nicolas Cage | Emma Stone | Ryan Reynolds | Catherine Keener | Cloris Leachman | Clark Duke | Chris Sanders,Chris Sanders | Kirk De Micco
231,The Revenant,"Dec 25, 2015","$135,000,000","$183,637,894","$532,938,302",Adventure,Based on Fiction Book/Short Story,Dramatization,Live Action,RatPac Entertainment,All Time Domestic Box Office for R Movies,156 minutes,4,4,7.6 weeks,Leonardo DiCaprio | Tom Hardy,Alejandro Gonzalez Inarritu
232,The World is Not Enough,"Nov 19, 1999","$135,000,000","$126,930,660","$361,730,660",Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Eon Productions,PG-13,128 minutes,"3,163","3,163",8.1 weeks,,
233,Rango,"Mar 4, 2011","$135,000,000","$123,477,607","$245,724,600",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Paramount Pictures,PG,107 minutes,"3,917","3,917",6.2 weeks,Johnny Depp | Isla Fisher,Gore Verbinski
234,Master and Commander: The Far Side of the World,"Nov 14, 2003","$135,000,000","$93,926,386","$212,912,137",Adventure,Based on Fiction Book/Short Story,Historical Fiction,Live Action,20th Century Fox,PG-13,139 minutes,"3,101","3,101",6.7 weeks,,
235,Turbo,"Jul 17, 2013","$135,000,000","$83,028,130","$286,896,578",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies (Rank 101-200),DreamWorks Animation,PG,96 minutes,"3,806","3,806",4.3 weeks,Ryan Reynolds | Snoop Dogg | Maya Rudolph | Samuel L. Jackson | Ben Schwartz,David Soren
236,Teenage Mutant Ninja Turtles: Out of the Shadows,"Jun 2, 2016","$135,000,000","$82,051,601","$245,328,374",Adventure,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Animation/Live Action,Paramount Pictures,PG-13,112 minutes,"4,071","4,071",3.7 weeks,Megan Fox | Will Arnett,David Green
237,Happy Feet Two,"Nov 18, 2011","$135,000,000","$64,006,466","$157,956,466",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies (Rank 101-200),VR Mumble 2 Productions Pty Ltd.,PG,99 minutes,"3,606","3,606",5.1 weeks,Elijah Wood,George Miller
238,Miami Vice,"Jul 28, 2006","$135,000,000","$63,478,838","$163,818,556",Action,Based on TV,Contemporary Fiction,Live Action,Universal Pictures,All Time Domestic Box Office for R Movies (Rank 301-400),132 minutes,"3,021","3,021",4.1 weeks,,
239,The Nutcracker and the Four Realms,"Oct 31, 2018","$132,900,000","$54,858,851","$170,293,899",Adventure,Based on Folk Tale/Legend/Fairytale,Fantasy,Live Action,Walt Disney Pictures,PG,99 minutes,"3,766","3,766",4.2 weeks,Keira Knightley | Mackenzie Foy | Misty Copeland | Helen Mirren | Morgan Freeman | Eugenio Derbez | Richard E. Grant | Jayden Fowora-Knight,Joe Johnston
240,War of the Worlds,"Jun 29, 2005","$132,000,000","$234,280,354","$606,836,535",Action,All Time Domestic Box Office for Remake Movies,Science Fiction,Animation/Live Action,Paramount Pictures,PG-13,116 minutes,"3,908","3,908",6.1 weeks,Tom Cruise,Steven Spielberg
241,Penguins of Madagascar,"Nov 26, 2014","$132,000,000","$83,350,911","$366,942,531",Adventure,Spin-Off,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies (Rank 101-200),DreamWorks Animation,PG,92 minutes,"3,764","3,764",5.6 weeks,Tom McGrath | Chris Miller | Chris Knights | Conrad Vernon | John Malkovich | Benedict Cumberbatch | Ken Jeong | Annett Mahendru | Peter Stormare,Simon J. Smith | Eric Darnell
242,The Hunger Games: Catching Fire,"Nov 15, 2013","$130,000,000","$424,668,047","$864,868,047",Adventure,Based on Fiction Book/Short Story,Science Fiction,Live Action,Lionsgate,PG-13,146 minutes,"4,163","4,163",7.3 weeks,Jennifer Lawrence,Francis Lawrence
243,Harry Potter and the Prisoner of Azkaban,"Jun 4, 2004","$130,000,000","$249,757,726","$796,907,323",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,Warner Bros.,PG,141 minutes,"3,855","3,855",6.7 weeks,Daniel Radcliffe | Rupert Grint | Emma Watson,Alfonso CuarÃ³n
244,The Bourne Ultimatum,"Aug 3, 2007","$130,000,000","$227,471,070","$444,043,396",Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,,PG-13,113 minutes,"3,660","3,660",8.2 weeks,Matt Damon,Paul Greengrass
245,Ant-Man and the Wasp,"Jul 3, 2018","$130,000,000","$216,648,740","$623,144,660",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Animation/Live Action,Marvel Studios,PG-13,118 minutes,"4,206","4,206",5.9 weeks,Paul Rudd | Evangeline Lilly | Michael PeÃ±a | Walton Goggins | Hannah John-Kamen | Michelle Pfeiffer | Laurence Fishburne | Michael Douglas,Peyton Reed
246,Kung Fu Panda,"Jun 6, 2008","$130,000,000","$215,434,591","$631,910,531",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,91 minutes,"4,114","4,114",6.8 weeks,Jack Black,Mark Osborne | John Stevenson
247,Ant-Man,"Jul 14, 2015","$130,000,000","$180,202,163","$518,858,449",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Marvel Studios,PG-13,117 minutes,"3,856","3,856",6.7 weeks,Paul Rudd | Evangeline Lilly | Corey Stoll | Bobby Cannavale | Michael PeÃ±a | Michael Douglas,Peyton Reed
248,Home,"Mar 19, 2015","$130,000,000","$177,397,510","$385,997,896",Adventure,Based on Fiction Book/Short Story,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,94 minutes,"3,708","3,708",8.3 weeks,Jim Parsons | Rihanna | Jennifer Lopez | Steve Martin | Matt Jones,Tim Johnson
249,Mary Poppins Returns,"Dec 19, 2018","$130,000,000","$171,958,438","$349,558,438",Musical,Based on Fiction Book/Short Story,Kids Fiction,Animation/Live Action,Walt Disney Pictures,PG,130 minutes,"4,090","4,090",6.0 weeks,Emily Blunt | Colin Firth | Lin-Manuel Miranda | Julie Walters | Meryl Streep,Rob Marshall
250,Puss in Boots,"Oct 28, 2011","$130,000,000","$149,260,504","$554,987,477",Adventure,Spin-Off,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Paramount Pictures,PG,90 minutes,"3,952","3,952",6.7 weeks,Antonio Banderas | Salma Hayek | Zach Galifianakis,Chris Miller
251,Megamind,"Nov 5, 2010","$130,000,000","$148,415,853","$321,887,208",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,95 minutes,"3,944","3,944",6.4 weeks,Will Ferrell,Tom McGrath
252,Bad Boys II,"Jul 18, 2003","$130,000,000","$138,540,870","$273,271,982",Action,Original Screenplay,Contemporary Fiction,Live Action,Columbia Pictures,All Time Domestic Box Office for R Movies,140 minutes,"3,186","3,186",5.7 weeks,,
253,Rio 2,"Mar 20, 2014","$130,000,000","$131,538,435","$492,846,291",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,20th Century Fox Animation,G,101 minutes,"3,948","3,948",6.6 weeks,Jesse Eisenberg | Anne Hathaway,Carlos Saldanha
254,Salt,"Jul 23, 2010","$130,000,000","$118,311,368","$290,650,494",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,Columbia Pictures,PG-13,100 minutes,"3,612","3,612",5.2 weeks,Angelina Jolie,Phillip Noyce
255,Noah,"Mar 27, 2014","$130,000,000","$101,200,044","$352,831,065",Drama,Based on Religious Text,Historical Fiction,Live Action,Protozoa Pictures,PG-13,137 minutes,"3,567","3,567",4.7 weeks,Russell Crowe,Darren Aronofsky
256,The Adventures of Tintin,"Oct 28, 2011","$130,000,000","$77,591,831","$373,993,951",Adventure,Based on Comic/Graphic Novel,Contemporary Fiction,All Time Domestic Box Office for Digital Animation Movies (Rank 101-200),Paramount Pictures,PG,104 minutes,"3,087","3,087",4.9 weeks,Jamie Bell | Andy Serkis,Steven Spielberg
257,After Earth,"May 31, 2013","$130,000,000","$60,522,097","$251,499,665",Action,Original Screenplay,Science Fiction,Live Action,Columbia Pictures,PG-13,99 minutes,"3,401","3,401",3.5 weeks,Will Smith | Jaden Smith,M. Night Shyamalan
258,Australia,"Nov 26, 2008","$130,000,000","$49,554,002","$215,080,810",Drama,Original Screenplay,Historical Fiction,Live Action,Twentieth Century Fox,PG-13,165 minutes,"2,642","2,642",5.0 weeks,,
259,R.I.P.D.,"Jul 19, 2013","$130,000,000","$33,618,855","$79,076,678",Action,Based on Comic/Graphic Novel,Science Fiction,Live Action,Universal Pictures,PG-13,98 minutes,"2,852","2,852",3.1 weeks,Jeff Bridges | Ryan Reynolds,Robert Schwentke
260,How to Train Your Dragon: The Hidden World,"Jan 3, 2019","$129,000,000","$160,799,505","$518,911,672",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,104 minutes,"4,259","4,259",6.4 weeks,Jay Baruchel,Dean DeBlois
261,"The Twilight Saga: Breaking Dawn, Part 1","Nov 18, 2011","$127,500,000","$281,287,133","$689,420,051",Drama,Based on Fiction Book/Short Story,Fantasy,Live Action,Temple Hill Entertainment,PG-13,117 minutes,"4,061","4,061",6.1 weeks,Kristen Stewart | Robert Pattinson | Taylor Lautner,Bill Condon
262,Dinosaur,"May 19, 2000","$127,500,000","$137,748,063","$356,148,063",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Walt Disney Pictures,PG,82 minutes,"3,257","3,257",8.0 weeks,,
263,Logan,"Feb 23, 2017","$127,000,000","$226,277,068","$615,461,394",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Marvel Studios,All Time Domestic Box Office for R Movies,135 minutes,"4,071","4,071",5.7 weeks,Hugh Jackman | Dafne Keen,James Mangold
